stock_id,date,stock_deal,stock_follow,stock_tweet
SH600291,2018-07-21,245.0,101599.0,9561.0
SH600029,2018-07-21,245.0,179464.0,26303.0
SH600518,2018-07-21,244.0,223413.0,43418.0
SH601006,2018-07-21,243.0,173261.0,18792.0
SH601607,2018-07-21,240.0,244245.0,17689.0
SH600460,2018-07-21,238.0,63583.0,8265.0
SZ002353,2018-07-21,238.0,130781.0,18799.0
SH600352,2018-07-21,237.0,146752.0,46652.0
SZ300136,2018-07-21,237.0,130154.0,13518.0
SH600111,2018-07-21,236.0,151853.0,9037.0
SH600606,2018-07-21,235.0,61598.0,13833.0
SH600298,2018-07-21,233.0,146711.0,7267.0
SH601600,2018-07-21,233.0,117991.0,25169.0
SZ002235,2018-07-21,233.0,27638.0,4604.0
SH601881,2018-07-21,232.0,,
SH600019,2018-07-21,230.0,173652.0,20051.0
SH600066,2018-07-21,229.0,89537.0,14976.0
SZ000709,2018-07-21,227.0,112615.0,15378.0
SZ002081,2018-07-21,227.0,96372.0,17524.0
SZ002839,2018-07-21,227.0,,6473.0
SZ002340,2018-07-21,227.0,135013.0,8278.0
SZ300144,2018-07-21,226.0,120230.0,36671.0
SH600436,2018-07-21,224.0,116905.0,19309.0
SH600741,2018-07-21,224.0,75698.0,12028.0
SH600068,2018-07-21,222.0,102164.0,17868.0
SZ002236,2018-07-21,221.0,114423.0,13602.0
SH603180,2018-07-21,220.0,,3646.0
SZ300027,2018-07-21,218.0,222737.0,55186.0
SZ000830,2018-07-21,216.0,58903.0,12804.0
SZ002258,2018-07-21,215.0,,
SZ001979,2018-07-21,214.0,82862.0,15656.0
SH600587,2018-07-21,214.0,33924.0,9562.0
SH600270,2018-07-21,214.0,37023.0,
SZ300383,2018-07-21,213.0,36557.0,11437.0
SH600763,2018-07-21,212.0,54604.0,15532.0
SH601012,2018-07-21,211.0,77958.0,23544.0
SZ300033,2018-07-21,210.0,308876.0,32667.0
SZ300496,2018-07-21,207.0,184134.0,22599.0
SH603019,2018-07-21,205.0,136820.0,14071.0
SH600031,2018-07-21,205.0,228848.0,22363.0
SH600380,2018-07-21,205.0,54865.0,16388.0
SZ002352,2018-07-21,205.0,82741.0,7678.0
SZ300418,2018-07-21,204.0,45456.0,6441.0
SZ002573,2018-07-21,204.0,70471.0,5008.0
SZ000826,2018-07-21,203.0,51370.0,3209.0
SH601138,2018-07-21,202.0,47726.0,10589.0
SZ002241,2018-07-21,202.0,153881.0,10619.0
SZ002223,2018-07-21,201.0,61215.0,4816.0
SZ300251,2018-07-21,200.0,218600.0,11422.0
SZ300676,2018-07-21,199.0,66700.0,17086.0
SH600597,2018-07-21,199.0,75618.0,3714.0
SZ002285,2018-07-21,199.0,101246.0,8965.0
SZ002016,2018-07-21,199.0,,3192.0
SH600079,2018-07-21,198.0,71795.0,6648.0
SH600903,2018-07-21,197.0,25455.0,11207.0
SH600115,2018-07-21,197.0,104344.0,5577.0
